#	0...ＳＴＡＲＴロゴ
		work:表示時間
	1...グレート・バトル・シップ
	2...コア
	3...砲台
	4...直進雑魚
	5...コンテナ
		work:離脱時間
	6...コア合体音Ａ
	7...コア合体音Ｂ
	8...3Way houdai
		work:Shot fier count
	9...BGM
	10..Back attack ZAKO

time	|X		|Y		|num	|work#
10,		0,		0,		0,		150,
20,		0,		0,		6,		0,
250,	0,		0,		7,		0,

300,	492,	356,	1,		0,
300,	586,	128,	3,		0,
300,	614,	90,		3,		0,
300,	614,	166,	3,		0,
300,	401,	75,		5,		3750,
300,	458,	181,	5,		6000,
300,	514,	75,		5,		6000,

414,	-16,	128,	2,		0,

702,	0,		0,		9,		0,

4000,	0,		256,	10,		0,
4020,	0,		256,	10,		0,
4040,	0,		256,	10,		0,
4060,	0,		256,	10,		0,

4200,	175,	35,		8,		20,

5000,	0,		0,		10,		0,
5020,	0,		0,		10,		0,
5040,	0,		0,		10,		0,
5060,	0,		0,		10,		0,


