#		<<<データフォーマット>>>
			gbs_mov[64]={ A, B, C, D, E,......
			A...メインカウント  
			B...移動速度 (1 - 16)
			C...本体移動方向
				0:そのまま  4:左    6:右    8:上    2:下
						    7:左上  1:左下  9:右上  3:右下
			D...アーム開閉      0:そのまま  2:閉じる  1:開く
			E...敵キャラ番号（発生させない時は -1 ）

時間	速度	方向	開閉	敵#

300,	16,		4,		0,		-1,
675,	4,		6,		0,		-1,
695,	4,		6,		0,		-1,
1115,	4,		6,		1,		-1,
1555,	4,		6,		0,		-1,
1805,	3,		6,		0,		-1,
1855,	2,		6,		0,		-1,
2050,	1,		4,		0,		-1,
2150,	1,		4,		2,		-1,
2800,	1,		4,		0,		-1,
2950,	1,		4,		1,		-1,
3580,	1,		4,		0,		-1,
4000,	1,		1,		0,		-1,
4400,	1,		4,		2,		-1,
4850,	1,		4,		0,		-1,
5050,	1,		7,		1,		-1,
5400,	1,		7,		0,		-1,
5750,	1,		4,		0,		-1,
6250,	1,		4,		2,		-1,
6300,	1,		1,		2,		-1,
6800,	1,		6,		2,		-1,
6830,	1,		6,		1,		-1,
7340,	1,		3,		1,		-1,
7360,	1,		3,		0,		-1,
8100,	1,		9,		2,		-1,
8400,	1,		9,		0,		-1,
8500,	1,		9,		0,		-1,
9200,	1,		6,		0,		-1,
9300	1,		6,		1,		-1,
9730,	1,		3,		0,		-1,
9850,	1,		4,		0,		-1,
10320,	1,		4,		2,		-1,
10945,	1,		4,		0,		-1,
11100,	1,		4,		1,		-1,
11680,	1,		4,		0,		-1,
12340,	1,		4,		2,		-1,
12750,	1,		4,		0,		-1,
12900,	1,		4,		1,		-1,
13300,	1,		4,		0,		-1,

14200,	1,		4,		2,		-1,
14450,	1,		4,		0,		-1,
14500,	1,		6,		1,		-1,
14800,	2,		6,		0,		-1,
14850,	3,		6,		0,		-1,
14900,	4,		6,		0,		-1,
14950,	5,		6,		0,		-1,
15000,	6,		6,		0,		-1,
15050,	7,		6,		0,		-1,
15100,	8,		6,		0,		-1,
15150,	9,		6,		0,		-1,
15200,	10,		6,		0,		-1,
15250,	11,		6,		0,		-1,
15300,	12,		6,		0,		-1,
15350,	13,		6,		0,		-1,
15400,	14,		6,		0,		-1,
15450,	15,		6,		0,		-1,
15500,	16,		6,		0,		-1,

15600,	0,		0,		0,		0,

